Model,RMSE,MAE,R2,Mean_Uncertainty,Median_Uncertainty,Error_STD,Diversity,PerformanceScore,UncertaintyScore,DiversityScore
LR,4920.547285494366,2927.7022206159495,0.5941406424001634,3066.0549123531387,2983.0437059288947,4920.3197388505405,0.17704523456163457,0.4885207347256985,0.6127291762350786,0.48400698073830073
KNN,5218.855031203023,3120.147288125716,0.5434385794565382,3088.4030130740466,3141.9751786109023,5121.0769805098025,0.13491467614714747,0.3989656616809251,0.6048931704967799,0.23849336574586277
SVR,5835.134468467658,4087.072557552581,0.42924400528795825,2997.4416743815227,2850.793528736351,5834.732556140195,0.21260978662860952,0.1415874565422177,0.6367873158140642,0.691257538816528
XGBoost,4986.079769509928,3098.6688671911866,0.583258079439757,2936.6021412194023,2926.7927752409905,4985.948474581868,0.13634821782427808,0.45343441454876166,0.6581197295581892,0.24684725452967807
LightGBM,4801.248992670337,2901.2202610003105,0.6135821298512458,2907.9348845334935,2974.6439865833395,4798.395413516341,0.12918680667306726,0.5179202842820164,0.6681714467352959,0.20511450741336307
LSTM,4820.422028171579,2882.8354852797115,0.6104897693000613,4169.238301459669,3857.2953486254396,4814.080420103234,0.09961781381200518,0.5159374063055607,0.22591548341208878,0.03280275551147888
CNN_LSTM,4799.786308616609,2985.080917412224,0.6138175357480773,4031.948225578503,3779.8895752842072,4799.178037956111,0.09398880457243586,0.5081309560139345,0.27405406287579226,0.0
ATTENTION_LSTM,6305.468142543889,4342.060080855796,0.3335256865162254,4813.543850271347,4577.31024151471,6284.606442930629,0.26559052375116554,0.0,0.0,1.0
TRANSFORMER_LSTM,4914.554883503669,3330.5990893184744,0.5951285778281075,4080.2974607792744,3940.647322276126,4911.045122698882,0.09668221705164504,0.4412720391071487,0.25710117326754267,0.015695719670523158
LSTM_XGB,3087.0594527088538,1853.484833929228,0.8402507855132791,1961.567796746894,1949.7148759203224,3086.996981375135,0.1616298902003691,1.0,1.0,0.3941748716251642
