Model,QValue,QScore,PerformanceScore,DiversityScore,UncertaintyScore,IntegratedScore
LSTM_XGB,-0.7263426259320853,1.0,1.0,0.3941748716251642,1.0,0.9091262307437746
LR,-1.064761144937059,0.45832539044088,0.4885207347256985,0.48400698073830073,0.6127291762350786,0.4851668436361176
LightGBM,-1.1093750197476684,0.3869161682446175,0.5179202842820164,0.20511450741336307,0.6681714467352959,0.42052247597834697
XGBoost,-1.139214659726489,0.3391546704919641,0.45343441454876166,0.24684725452967807,0.6581197295581892,0.3857750000184431
KNN,-1.1373003131562374,0.3422187845187341,0.3989656616809251,0.23849336574586277,0.6048931704967799,0.36711412959115575
SVR,-1.2044856901005327,0.23468148741281353,0.1415874565422177,0.691257538816528,0.6367873158140642,0.3201049702458468
LSTM,-1.187434071784952,0.2619744048353011,0.5159374063055607,0.03280275551147888,0.22591548341208878,0.2874835156619714
CNN_LSTM,-1.1878284689661571,0.26134313046010266,0.5081309560139345,0.0,0.27405406287579226,0.28510971052111417
TRANSFORMER_LSTM,-1.2414398924836263,0.17553238054275863,0.4412720391071487,0.015695719670523158,0.25710117326754267,0.22614867532549923
ATTENTION_LSTM,-1.3511061149950478,0.0,0.0,1.0,0.0,0.15
